price;size;location;real_estate;ownership
1.200.000 €;139 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
4.220.000 €;556 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
975.000 €;157 m²;Wegacker 3, Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
1.250.000 €;260 m²;Kiefernstr. 8 b, Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
589.000 €;202 m²;Adelshofen, Fürstenfeldbruck (Kreis);Haus;Kauf
798.000 €;179,25 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
749.000 €;155,21 m²;Schöngeising, Fürstenfeldbruck (Kreis);Haus;Kauf
1.300.000 €;380 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
698.000 €;130 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
670.000 €;100 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
699.000 €;120 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
890.000 €;174,66 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
839.000 €;130 m²;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf
285.000 - 839.000 €;43,00 - 139,00 m²;Maisacher Straße 64a, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
1.290.000 €;179 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
838.000 €;113 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
743.000 - 1.093.000 €;120,92 - 175,54 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
1.093.000 €;175,52 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
648.000 €;120 m²;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
648.000 €;120 m²;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
648.000 €;120 m²;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
2.700.000 €;400 m²;Dr. Rank Str. 6, Emmering, Fürstenfeldbruck (Kreis);Haus;Kauf
689.000 €;120 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
689.000 €;120 m²;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
490.000 €;121 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
1.450.000 €;185 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
544.444 €;120 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
555.000 €;120 m²;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
698.000 €;248 m²;Adelshofen, Fürstenfeldbruck (Kreis);Haus;Kauf
424.200 €;352 m²;Mittelstetten, Fürstenfeldbruck (Kreis);Haus;Kauf
2.980.000 €;256,79 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
869.000 €;130 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
1.547.000 €;270 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
875.000 €;134 m²;Aubing, München;Haus;Kauf
5.200.000 €;475 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
6.900.000 €;750 m²;Feldafing, Starnberg (Kreis);Haus;Kauf
1.125.000 €;212,52 m²;Haar, München (Kreis);Haus;Kauf
1.195.000 €;185 m²;Weßling, Starnberg (Kreis);Haus;Kauf
670.000 €;210 m²;Eurasburg, Aichach-Friedberg (Kreis);Haus;Kauf
1.080.000 €;138,28 m²;Ottobrunn, München (Kreis);Haus;Kauf
1.690.000 €;203 m²;Trudering, München;Haus;Kauf
1.100.000 €;154 m²;Hohenbrunn, München (Kreis);Haus;Kauf
3.550.000 €;229 m²;Grünwald, München (Kreis);Haus;Kauf
6.800.000 €;385 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
989.000 - 1.059.000 €;150,00 - 150,00 m²;Zweigstraße 7, Karlsfeld, Dachau (Kreis);Haus;Kauf
795.000 €;135 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
1.017.600 €;641 m²;Altomünster, Dachau (Kreis);Haus;Kauf
769.000 €;165 m²;Dachau, Dachau (Kreis);Haus;Kauf
440.000 €;105,05 m²;Erdweg, Dachau (Kreis);Haus;Kauf
954.500 €;133 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
694.000 €;120 m²;Altomünster, Dachau (Kreis);Haus;Kauf
2.580.000 €;200 m²;Dachau, Dachau (Kreis);Haus;Kauf
954.500 €;131 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
749.000 €;145 m²;Dachau, Dachau (Kreis);Haus;Kauf
849.000 €;163 m²;Dachau, Dachau (Kreis);Haus;Kauf
565.000 €;155 m²;Weichs, Dachau (Kreis);Haus;Kauf
950.000 €;132 m²;Haimhausen, Dachau (Kreis);Haus;Kauf
898.000 €;587 m²;Röhrmoos, Dachau (Kreis);Haus;Kauf
718.400 €;320 m²;Dachau, Dachau (Kreis);Haus;Kauf
649.000 €;120 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
1.050.000 €;175 m²;Hermann-Böcker-Straße 8, Dachau, Dachau (Kreis);Haus;Kauf
625.000 €;140 m²;Vierkirchen, Dachau (Kreis);Haus;Kauf
628.000 €;92 m²;Wehrstaudenstrasse 33, Karlsfeld, Dachau (Kreis);Haus;Kauf
542.660 €;293 m²;Röhrmoos, Dachau (Kreis);Haus;Kauf
1.020.000 €;683 m²;Vierkirchen, Dachau (Kreis);Haus;Kauf
650.000 €;90 m²;Dachau, Dachau (Kreis);Haus;Kauf
770.000 €;191 m²;Haimhausen, Dachau (Kreis);Haus;Kauf
694.000 €;120 m²;Dachau, Dachau (Kreis);Haus;Kauf
498.000 €;120 m²;Weichs, Dachau (Kreis);Haus;Kauf
849.000 €;175 m²;Am Wirtsberg 7, Vierkirchen, Dachau (Kreis);Haus;Kauf
950.000 €;225 m²;Dachau, Dachau (Kreis);Haus;Kauf
949.000 €;587 m²;Röhrmoos, Dachau (Kreis);Haus;Kauf
280.000 €;73 m²;Moosweg XXXX, Haimhausen, Dachau (Kreis);Haus;Kauf
395.000 €;102,63 m²;Hilgertshausen-Tandern, Dachau (Kreis);Haus;Kauf
979.000 €;189 m²;Karlsfeld, Dachau (Kreis);Haus;Kauf
798.400 €;182 m²;Dachau, Dachau (Kreis);Haus;Kauf
949.000 €;173 m²;Bergkirchen, Dachau (Kreis);Haus;Kauf
1.350.000 €;226 m²;Hebertshausen, Dachau (Kreis);Haus;Kauf
1.250.000 €;170 m²;Dachau, Dachau (Kreis);Haus;Kauf
925.000 €;153,35 m²;Dachau, Dachau (Kreis);Haus;Kauf
606.000 €;151,85 m²;Am Wirtsberg 8, Markt Indersdorf, Dachau (Kreis);Haus;Kauf
